Ramas de actividad;Tipo de indicador;Tamaño de la empresa;Total
TOTAL EMPRESAS;Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;26.657
TOTAL EMPRESAS;Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;7.636
TOTAL EMPRESAS;Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;2.587
TOTAL EMPRESAS;Total de empresas innovadoras (producto y/o procesos de negocio);Total;36.880
TOTAL EMPRESAS;Empresas innovadoras de producto;De 10 a 49 empleados;12.341
TOTAL EMPRESAS;Empresas innovadoras de producto;De 50 a 249 empleados;4.416
TOTAL EMPRESAS;Empresas innovadoras de producto;250 y más empleados;1.759
TOTAL EMPRESAS;Empresas innovadoras de producto;Total;18.517
TOTAL EMPRESAS;- Exclusivamente innovadoras de producto;De 10 a 49 empleados;3.456
TOTAL EMPRESAS;- Exclusivamente innovadoras de producto;De 50 a 249 empleados;937
TOTAL EMPRESAS;- Exclusivamente innovadoras de producto;250 y más empleados;174
TOTAL EMPRESAS;- Exclusivamente innovadoras de producto;Total;4.567
TOTAL EMPRESAS;Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;23.201
TOTAL EMPRESAS;Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;6.699
TOTAL EMPRESAS;Empresas innovadoras de procesos de negocio;250 y más empleados;2.413
TOTAL EMPRESAS;Empresas innovadoras de procesos de negocio;Total;32.313
TOTAL EMPRESAS;- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;14.316
TOTAL EMPRESAS;- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;3.220
TOTAL EMPRESAS;- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;828
TOTAL EMPRESAS;- Exclusivamente innovadoras de procesos de negocio;Total;18.363
TOTAL EMPRESAS;Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;8.885
TOTAL EMPRESAS;Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;3.480
TOTAL EMPRESAS;Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;1.585
TOTAL EMPRESAS;Empresas innovadoras de producto y de procesos de negocio;Total;13.950
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;964
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;190
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;26
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Total de empresas innovadoras (producto y/o procesos de negocio);Total;1.179
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de producto;De 10 a 49 empleados;396
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de producto;De 50 a 249 empleados;90
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de producto;250 y más empleados;17
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de producto;Total;503
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;- Exclusivamente innovadoras de producto;De 10 a 49 empleados;171
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;- Exclusivamente innovadoras de producto;De 50 a 249 empleados;47
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;- Exclusivamente innovadoras de producto;250 y más empleados;5
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;- Exclusivamente innovadoras de producto;Total;223
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;792
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;143
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de procesos de negocio;250 y más empleados;21
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de procesos de negocio;Total;956
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;568
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;100
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;9
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;- Exclusivamente innovadoras de procesos de negocio;Total;677
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;225
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;43
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;12
1. AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA;Empresas innovadoras de producto y de procesos de negocio;Total;279
TOTAL INDUSTRIA;Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;6.691
TOTAL INDUSTRIA;Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;2.504
TOTAL INDUSTRIA;Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;865
TOTAL INDUSTRIA;Total de empresas innovadoras (producto y/o procesos de negocio);Total;10.060
TOTAL INDUSTRIA;Empresas innovadoras de producto;De 10 a 49 empleados;3.732
TOTAL INDUSTRIA;Empresas innovadoras de producto;De 50 a 249 empleados;1.818
TOTAL INDUSTRIA;Empresas innovadoras de producto;250 y más empleados;698
TOTAL INDUSTRIA;Empresas innovadoras de producto;Total;6.249
TOTAL INDUSTRIA;- Exclusivamente innovadoras de producto;De 10 a 49 empleados;871
TOTAL INDUSTRIA;- Exclusivamente innovadoras de producto;De 50 a 249 empleados;350
TOTAL INDUSTRIA;- Exclusivamente innovadoras de producto;250 y más empleados;56
TOTAL INDUSTRIA;- Exclusivamente innovadoras de producto;Total;1.276
TOTAL INDUSTRIA;Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;5.821
TOTAL INDUSTRIA;Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;2.155
TOTAL INDUSTRIA;Empresas innovadoras de procesos de negocio;250 y más empleados;809
TOTAL INDUSTRIA;Empresas innovadoras de procesos de negocio;Total;8.784
TOTAL INDUSTRIA;- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;2.959
TOTAL INDUSTRIA;- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;686
TOTAL INDUSTRIA;- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;167
TOTAL INDUSTRIA;- Exclusivamente innovadoras de procesos de negocio;Total;3.811
TOTAL INDUSTRIA;Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;2.862
TOTAL INDUSTRIA;Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;1.469
TOTAL INDUSTRIA;Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;642
TOTAL INDUSTRIA;Empresas innovadoras de producto y de procesos de negocio;Total;4.973
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;66
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;16
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;6
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Total de empresas innovadoras (producto y/o procesos de negocio);Total;88
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de producto;De 10 a 49 empleados;34
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de producto;De 50 a 249 empleados;8
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de producto;250 y más empleados;5
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de producto;Total;46
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;18
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;.
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);- Exclusivamente innovadoras de producto;250 y más empleados;1
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);- Exclusivamente innovadoras de producto;Total;19
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;48
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;16
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de procesos de negocio;250 y más empleados;5
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de procesos de negocio;Total;69
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;32
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;8
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;1
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);- Exclusivamente innovadoras de procesos de negocio;Total;42
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;15
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;8
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;4
2. Industrias extractivas y del petróleo (CNAE 05, 06, 07, 08, 09, 19);Empresas innovadoras de producto y de procesos de negocio;Total;27
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Total de empresas innovadoras (producto y/o procesos de negocio);Total;83
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de producto;De 10 a 49 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de producto;De 50 a 249 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de producto;250 y más empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de producto;Total;41
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);- Exclusivamente innovadoras de producto;250 y más empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);- Exclusivamente innovadoras de producto;Total;19
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de procesos de negocio;250 y más empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de procesos de negocio;Total;64
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;..
